Location,FIPS,pctChange
Alabama,01,-39.91
Alaska,02,-50.33
Arizona,04,-49.4
Arkansas,05,-37.74
California,06,-53.59
Colorado,08,-47.83
Connecticut,09,-53.57
Delaware,10,-53.02
District of Columbia,11,-43.44
Florida,12,-48.5
Georgia,13,-49.04
Hawaii,15,-42.86
Idaho,16,-44.66
Illinois,17,-52.56
Indiana,18,-47.01
Iowa,19,-45.33
Kansas,20,-42.66
Kentucky,21,-44.44
Louisiana,22,-44.8
Maine,23,-54.12
Maryland,24,-49.74
Massachusetts,25,-55.06
Michigan,26,-47.05
Minnesota,27,-55.6
Mississippi,28,-39.26
Missouri,29,-43.69
Montana,30,-46.58
Nebraska,31,-50.53
Nevada,32,-48.6
New Hampshire,33,-52.71
New Jersey,34,-54.55
New Mexico,35,-41.49
New York,36,-54.77
North Carolina,37,-51.65
North Dakota,38,-46.73
Ohio,39,-49.09
Oklahoma,40,-33.8
Oregon,41,-50.37
Pennsylvania,42,-52.07
Rhode Island,44,-50.98
South Carolina,45,-52.32
South Dakota,46,-49.6
Tennessee,47,-42.09
Texas,48,-46.72
Utah,49,-42.88
Vermont,50,-53.95
Virginia,51,-53.53
Washington,53,-48.5
West Virginia,54,-46.22
Wisconsin,55,-50.73
Wyoming,56,-43.44